"","category","term","ontology"
"GO:0000741","GO:0000741","karyogamy","BP"
"GO:0007344","GO:0007344","pronuclear fusion","BP"
"GO:0004890","GO:0004890","GABA-A receptor activity","MF"
"GO:0022851","GO:0022851","GABA-gated chloride ion channel activity","MF"
"GO:0000815","GO:0000815","ESCRT III complex","CC"
"GO:0051257","GO:0051257","meiotic spindle midzone assembly","BP"
"GO:2001251","GO:2001251","negative regulation of chromosome organization","BP"
"GO:0008237","GO:0008237","metallopeptidase activity","MF"
"GO:1903722","GO:1903722","regulation of centriole elongation","BP"
"GO:1903723","GO:1903723","negative regulation of centriole elongation","BP"
"GO:1904375","GO:1904375","regulation of protein localization to cell periphery","BP"
"GO:0030148","GO:0030148","sphingolipid biosynthetic process","BP"
"GO:0071824","GO:0071824","protein-DNA complex organization","BP"
"GO:0000079","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","BP"
"GO:1904029","GO:1904029","regulation of cyclin-dependent protein kinase activity","BP"
"GO:0071345","GO:0071345","cellular response to cytokine stimulus","BP"
"GO:0016405","GO:0016405","CoA-ligase activity","MF"
"GO:0004467","GO:0004467","long-chain fatty acid-CoA ligase activity","MF"
"GO:0007306","GO:0007306","egg chorion assembly","BP"
"GO:0044837","GO:0044837","actomyosin contractile ring organization","BP"
"GO:0022824","GO:0022824","transmitter-gated monoatomic ion channel activity","MF"
"GO:0022835","GO:0022835","transmitter-gated channel activity","MF"
"GO:0005876","GO:0005876","spindle microtubule","CC"
"GO:0051306","GO:0051306","mitotic sister chromatid separation","BP"
"GO:0008150","GO:0008150","biological_process","BP"
"GO:0016556","GO:0016556","mRNA modification","BP"
"GO:0051258","GO:0051258","protein polymerization","BP"
"GO:0055085","GO:0055085","transmembrane transport","BP"
"GO:0032506","GO:0032506","cytokinetic process","BP"
"GO:0035324","GO:0035324","female germline ring canal","CC"
"GO:0000912","GO:0000912","assembly of actomyosin apparatus involved in cytokinesis","BP"
"GO:1905369","GO:1905369","endopeptidase complex","CC"
"GO:0098656","GO:0098656","monoatomic anion transmembrane transport","BP"
"GO:0008033","GO:0008033","tRNA processing","BP"
"GO:0034504","GO:0034504","protein localization to nucleus","BP"
"GO:0045931","GO:0045931","positive regulation of mitotic cell cycle","BP"
"GO:2001252","GO:2001252","positive regulation of chromosome organization","BP"
"GO:0001510","GO:0001510","RNA methylation","BP"
"GO:0035859","GO:0035859","Seh1-associated complex","CC"
"GO:0006220","GO:0006220","pyrimidine nucleotide metabolic process","BP"
"GO:0006221","GO:0006221","pyrimidine nucleotide biosynthetic process","BP"
"GO:0003682","GO:0003682","chromatin binding","MF"
"GO:0140513","GO:0140513","nuclear protein-containing complex","CC"
"GO:0005832","GO:0005832","chaperonin-containing T-complex","CC"
"GO:0043603","GO:0043603","amide metabolic process","BP"
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","BP"
"GO:0044283","GO:0044283","small molecule biosynthetic process","BP"
"GO:0051604","GO:0051604","protein maturation","BP"
"GO:0045172","GO:0045172","germline ring canal","CC"
"GO:0015036","GO:0015036","disulfide oxidoreductase activity","MF"
"GO:0031523","GO:0031523","Myb complex","CC"
"GO:0006637","GO:0006637","acyl-CoA metabolic process","BP"
"GO:0035383","GO:0035383","thioester metabolic process","BP"
"GO:0080009","GO:0080009","mRNA methylation","BP"
"GO:0005230","GO:0005230","extracellular ligand-gated monoatomic ion channel activity","MF"
"GO:0043280","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","BP"
"GO:0044528","GO:0044528","regulation of mitochondrial mRNA stability","BP"
"GO:0007131","GO:0007131","reciprocal meiotic recombination","BP"
"GO:0140527","GO:0140527","reciprocal homologous recombination","BP"
"GO:0005085","GO:0005085","guanyl-nucleotide exchange factor activity","MF"
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","BP"
"GO:0035186","GO:0035186","syncytial blastoderm mitotic cell cycle","BP"
"GO:0048193","GO:0048193","Golgi vesicle transport","BP"
"GO:0051231","GO:0051231","spindle elongation","BP"
"GO:0016891","GO:0016891","RNA endonuclease activity, producing 5'-phosphomonoesters","MF"
"GO:0110154","GO:0110154","RNA decapping","BP"
"GO:0008608","GO:0008608","attachment of spindle microtubules to kinetochore","BP"
"GO:0051179","GO:0051179","localization","BP"
"GO:0000138","GO:0000138","Golgi trans cisterna","CC"
"GO:0005801","GO:0005801","cis-Golgi network","CC"
"GO:0012505","GO:0012505","endomembrane system","CC"
"GO:0097428","GO:0097428","protein maturation by iron-sulfur cluster transfer","BP"
"GO:0033314","GO:0033314","mitotic DNA replication checkpoint signaling","BP"
"GO:0005813","GO:0005813","centrosome","CC"
"GO:0019221","GO:0019221","cytokine-mediated signaling pathway","BP"
"GO:0070069","GO:0070069","cytochrome complex","CC"
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","BP"
"GO:0009208","GO:0009208","pyrimidine ribonucleoside triphosphate metabolic process","BP"
"GO:0009209","GO:0009209","pyrimidine ribonucleoside triphosphate biosynthetic process","BP"
"GO:0008358","GO:0008358","maternal determination of anterior/posterior axis, embryo","BP"
"GO:0008356","GO:0008356","asymmetric cell division","BP"
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","BP"
"GO:1901568","GO:1901568","fatty acid derivative metabolic process","BP"
"GO:0090329","GO:0090329","regulation of DNA-templated DNA replication","BP"
"GO:0006400","GO:0006400","tRNA modification","BP"
"GO:0001676","GO:0001676","long-chain fatty acid metabolic process","BP"
"GO:0007367","GO:0007367","segment polarity determination","BP"
"GO:0071819","GO:0071819","DUBm complex","CC"
"GO:0007062","GO:0007062","sister chromatid cohesion","BP"
"GO:0098722","GO:0098722","asymmetric stem cell division","BP"
"GO:0006650","GO:0006650","glycerophospholipid metabolic process","BP"
"GO:0006888","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP"
"GO:0000940","GO:0000940","outer kinetochore","CC"
"GO:0034508","GO:0034508","centromere complex assembly","BP"
"GO:0005851","GO:0005851","eukaryotic translation initiation factor 2B complex","CC"
"GO:0035825","GO:0035825","homologous recombination","BP"
"GO:0005783","GO:0005783","endoplasmic reticulum","CC"
"GO:0005488","GO:0005488","binding","MF"
"GO:0032392","GO:0032392","DNA geometric change","BP"
"GO:0000792","GO:0000792","heterochromatin","CC"
"GO:0060341","GO:0060341","regulation of cellular localization","BP"
"GO:0004252","GO:0004252","serine-type endopeptidase activity","MF"
"GO:0035060","GO:0035060","brahma complex","CC"
"GO:0007293","GO:0007293","germarium-derived egg chamber formation","BP"
"GO:0016973","GO:0016973","poly(A)+ mRNA export from nucleus","BP"
"GO:0032154","GO:0032154","cleavage furrow","CC"
"GO:0032837","GO:0032837","distributive segregation","BP"
"GO:0005811","GO:0005811","lipid droplet","CC"
"GO:0007318","GO:0007318","pole plasm protein localization","BP"
"GO:0055106","GO:0055106","ubiquitin-protein transferase regulator activity","MF"
"GO:0035282","GO:0035282","segmentation","BP"
"GO:0008238","GO:0008238","exopeptidase activity","MF"
"GO:0048132","GO:0048132","female germ-line stem cell asymmetric division","BP"
"GO:0065004","GO:0065004","protein-DNA complex assembly","BP"
"GO:0033866","GO:0033866","nucleoside bisphosphate biosynthetic process","BP"
"GO:0034030","GO:0034030","ribonucleoside bisphosphate biosynthetic process","BP"
"GO:0034033","GO:0034033","purine nucleoside bisphosphate biosynthetic process","BP"
"GO:0043488","GO:0043488","regulation of mRNA stability","BP"
"GO:0006606","GO:0006606","protein import into nucleus","BP"
"GO:0015035","GO:0015035","protein-disulfide reductase activity","MF"
"GO:0042585","GO:0042585","germinal vesicle","CC"
"GO:0016788","GO:0016788","hydrolase activity, acting on ester bonds","MF"
"GO:0051082","GO:0051082","unfolded protein binding","MF"
"GO:0006631","GO:0006631","fatty acid metabolic process","BP"
"GO:0048256","GO:0048256","flap endonuclease activity","MF"
"GO:0008195","GO:0008195","phosphatidate phosphatase activity","MF"
"GO:0031032","GO:0031032","actomyosin structure organization","BP"
"GO:0009218","GO:0009218","pyrimidine ribonucleotide metabolic process","BP"
"GO:0009220","GO:0009220","pyrimidine ribonucleotide biosynthetic process","BP"
"GO:0008541","GO:0008541","proteasome regulatory particle, lid subcomplex","CC"
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","BP"
"GO:0036296","GO:0036296","response to increased oxygen levels","BP"
"GO:0072528","GO:0072528","pyrimidine-containing compound biosynthetic process","BP"
"GO:0030725","GO:0030725","germline ring canal formation","BP"
"GO:0033865","GO:0033865","nucleoside bisphosphate metabolic process","BP"
"GO:0033875","GO:0033875","ribonucleoside bisphosphate metabolic process","BP"
"GO:0034032","GO:0034032","purine nucleoside bisphosphate metabolic process","BP"
"GO:0007348","GO:0007348","regulation of syncytial blastoderm mitotic cell cycle","BP"
"GO:1903078","GO:1903078","positive regulation of protein localization to plasma membrane","BP"
"GO:0016578","GO:0016578","histone deubiquitination","BP"
"GO:0006754","GO:0006754","ATP biosynthetic process","BP"
"GO:1901505","GO:1901505","carbohydrate derivative transmembrane transporter activity","MF"
"GO:0051256","GO:0051256","mitotic spindle midzone assembly","BP"
"GO:2001056","GO:2001056","positive regulation of cysteine-type endopeptidase activity","BP"
"GO:0010629","GO:0010629","negative regulation of gene expression","BP"
"GO:0099095","GO:0099095","ligand-gated monoatomic anion channel activity","MF"
"GO:0043171","GO:0043171","peptide catabolic process","BP"
"GO:0006228","GO:0006228","UTP biosynthetic process","BP"
"GO:0046051","GO:0046051","UTP metabolic process","BP"
"GO:0005789","GO:0005789","endoplasmic reticulum membrane","CC"
"GO:0016765","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups","MF"
"GO:0016298","GO:0016298","lipase activity","MF"
"GO:0048646","GO:0048646","anatomical structure formation involved in morphogenesis","BP"
"GO:0018293","GO:0018293","protein-FAD linkage","BP"
"GO:0003756","GO:0003756","protein disulfide isomerase activity","MF"
"GO:0016864","GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds","MF"
"GO:0004518","GO:0004518","nuclease activity","MF"
"GO:0052744","GO:0052744","phosphatidylinositol monophosphate phosphatase activity","MF"
"GO:0045017","GO:0045017","glycerolipid biosynthetic process","BP"
"GO:0000712","GO:0000712","resolution of meiotic recombination intermediates","BP"
"GO:0035329","GO:0035329","hippo signaling","BP"
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis","BP"
"GO:0008587","GO:0008587","imaginal disc-derived wing margin morphogenesis","BP"
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","BP"
"GO:0031577","GO:0031577","spindle checkpoint signaling","BP"
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","BP"
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","BP"
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","BP"
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling","BP"
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","BP"
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","BP"
"GO:0043604","GO:0043604","amide biosynthetic process","BP"
"GO:0061013","GO:0061013","regulation of mRNA catabolic process","BP"
"GO:0051170","GO:0051170","import into nucleus","BP"
"GO:0007005","GO:0007005","mitochondrion organization","BP"
"GO:0035234","GO:0035234","ectopic germ cell programmed cell death","BP"
"GO:2000241","GO:2000241","regulation of reproductive process","BP"
"GO:0051235","GO:0051235","maintenance of location","BP"
"GO:0017056","GO:0017056","structural constituent of nuclear pore","MF"
"GO:0017145","GO:0017145","stem cell division","BP"
"GO:0071900","GO:0071900","regulation of protein serine/threonine kinase activity","BP"
"GO:0046154","GO:0046154","rhodopsin metabolic process","BP"
"GO:0006082","GO:0006082","organic acid metabolic process","BP"
"GO:0043436","GO:0043436","oxoacid metabolic process","BP"
"GO:0019941","GO:0019941","modification-dependent protein catabolic process","BP"
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","BP"
"GO:0045005","GO:0045005","DNA-templated DNA replication maintenance of fidelity","BP"
"GO:0035025","GO:0035025","positive regulation of Rho protein signal transduction","BP"
"GO:0030968","GO:0030968","endoplasmic reticulum unfolded protein response","BP"
"GO:0070013","GO:0070013","intracellular organelle lumen","CC"
"GO:0045977","GO:0045977","positive regulation of mitotic cell cycle, embryonic","BP"
"GO:0005347","GO:0005347","ATP transmembrane transporter activity","MF"
"GO:0009913","GO:0009913","epidermal cell differentiation","BP"
"GO:0031113","GO:0031113","regulation of microtubule polymerization","BP"
"GO:0004176","GO:0004176","ATP-dependent peptidase activity","MF"
"GO:0036042","GO:0036042","long-chain fatty acyl-CoA binding","MF"
"GO:0032508","GO:0032508","DNA duplex unwinding","BP"
"GO:0048523","GO:0048523","negative regulation of cellular process","BP"
"GO:0034220","GO:0034220","monoatomic ion transmembrane transport","BP"
"GO:0009112","GO:0009112","nucleobase metabolic process","BP"
"GO:0046474","GO:0046474","glycerophospholipid biosynthetic process","BP"
"GO:0004175","GO:0004175","endopeptidase activity","MF"
"GO:0010950","GO:0010950","positive regulation of endopeptidase activity","BP"
"GO:1905806","GO:1905806","regulation of synapse pruning","BP"
"GO:1905808","GO:1905808","positive regulation of synapse pruning","BP"
"GO:0032509","GO:0032509","endosome transport via multivesicular body sorting pathway","BP"
"GO:0071985","GO:0071985","multivesicular body sorting pathway","BP"
"GO:0000030","GO:0000030","mannosyltransferase activity","MF"
"GO:0046625","GO:0046625","sphingolipid binding","MF"
"GO:0031974","GO:0031974","membrane-enclosed lumen","CC"
"GO:0043233","GO:0043233","organelle lumen","CC"
"GO:0051299","GO:0051299","centrosome separation","BP"
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process","BP"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane","MF"
"GO:0006520","GO:0006520","amino acid metabolic process","BP"
"GO:0097361","GO:0097361","CIA complex","CC"
"GO:0044877","GO:0044877","protein-containing complex binding","MF"
"GO:0031461","GO:0031461","cullin-RING ubiquitin ligase complex","CC"
"GO:1990072","GO:1990072","TRAPPIII protein complex","CC"
"GO:0005112","GO:0005112","Notch binding","MF"
"GO:0035330","GO:0035330","regulation of hippo signaling","BP"
"GO:0070569","GO:0070569","uridylyltransferase activity","MF"
"GO:0110020","GO:0110020","regulation of actomyosin structure organization","BP"
"GO:0044615","GO:0044615","nuclear pore nuclear basket","CC"
"GO:0004090","GO:0004090","carbonyl reductase (NADPH) activity","MF"
"GO:0006325","GO:0006325","chromatin organization","BP"
"GO:0030488","GO:0030488","tRNA methylation","BP"
"GO:0045494","GO:0045494","photoreceptor cell maintenance","BP"
"GO:0007080","GO:0007080","mitotic metaphase chromosome alignment","BP"
"GO:0035770","GO:0035770","ribonucleoprotein granule","CC"
"GO:0008311","GO:0008311","double-stranded DNA 3'-5' DNA exonuclease activity","MF"
